FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity
0.035579626,0.17966357,0.750213129,92.60015994
0.09874738,0.66478693,0.632659933,110.4493813
0.106773689,0.62514865,0.742810458,109.6174316
0.094865046,0.24663594,0.722816399,113.6666797
0.101130128,0.915393,0.762142857,117.1169308
,0.8286215,0.763095238,112.9807416
0.137619853,0.8676027,0.795833333,110.400302
0.107504569,0.88127726,0.761044735,112.6520169
0.072806358,0.55168796,0.75297619,112.1354257
0.087144278,0.39197555,0.766414141,115.545615
0.070147835,0.7581141,0.714597902,106.5763041
,0.43192905,0.772727273,114.3369001
,0.8793947,0.758394758,111.0198622
0.108138435,0.48486662,0.793952968,122.6364697
0.105612673,0.32775104,0.666233766,129.5836517
0.073189013,0.79314005,0.709302326,112.1844936
0.109808892,0.20304509,0.717403164,131.1203433
0.102260552,0.29144755,0.790598291,129.5625232
0.066099077,0.7717489,0.764327485,122.2189245
0.074732207,0.8315747,0.739285714,134.5559005
,0.90060186,0.781694915,117.2635044
0.124374576,0.9634935,0.607399577,131.2710366
0.10383489,0.7757174,0.679910213,122.0374993
0.087096684,0.5047033,0.750505051,121.4008806
0.083714686,0.13664196,0.784057971,124.6429851
0.083689347,0.24368827,0.775326797,129.896763
0.094001666,0.41090083,0.760107817,127.4720743
0.081593908,0.102138355,0.797163121,115.9983835
0.120563611,-0.078617305,0.746246246,120.5227325
0.090063505,0.59029555,0.775935374,119.1985786
0.108581342,-0.31255236,0.736786469,125.5371902
0.084901452,0.5956963,0.538717483,129.7554807
0.074837223,0.60135615,0.703953279,133.6710328
0.145047382,0.80769825,0.793294031,120.2543633
0.085739456,0.79330355,0.753615702,138.7781055
0.092627637,0.0442663,0.752717391,127.6657783
0.083335668,0.6998569,0.775058275,136.8684001
0.113510042,0.72541517,0.721693122,128.35613
,0.89793,0.73202765,99.35938541
0.16527535,0.8878913,0.784698193,94.90428315
0.090693608,0.8199506,0.782810685,100.5033913
0.079031348,0.81940055,0.772413793,98.79172768
0.141565472,0.945575,0.790017825,96.26765143
0.092774175,0.8501239,0.798126951,93.06788257
0.11597041,0.951911,0.750164366,114.8277175
0.092112996,0.7254697,0.647959184,115.3858348
0.100935228,0.91675043,0.768087855,113.6785107
0.099322736,0.41967607,0.741025641,113.3473284
0.09206368,0.5263035,0.696296296,110.0409012
0.107091658,0.11084427,0.791869919,111.8975659
0.098406844,0.4581672,0.745945946,108.2737903
0.097312897,0.8883606,0.795555556,113.1822268
0.093072802,0.6745723,0.76076555,110.9050838
,0.9303104,0.75862069,103.4809577
0.098473728,0.818918,0.737268519,106.4333102
,0.94941115,0.75,104.4616392
0.10747686,0.614464,0.780405405,105.7871499
0.083272666,0.7993245,0.75921659,109.6912471
0.116561472,0.79004323,0.778344671,102.0774495
0.123282693,0.64999926,0.794285714,107.7057179
0.085609794,0.61658037,0.788966434,104.1852698
0.081353419,0.25656995,0.701133787,149.1407805
0.07354331,0.54100305,0.7625,147.8197752
0.178988084,0.77955264,0.719886364,157.3176356
0.083377108,0.6843873,0.788113695,154.5372095
0.090206169,0.5670967,0.63859208,162.0673892
0.096370235,0.75068367,0.75862069,176.4972241
0.140865773,0.9321948,0.742833743,139.1419095
0.10554415,0.8647611,0.752983913,145.0563483
0.078513779,0.57622856,0.787326389,156.3275321
0.119198546,0.017745838,0.774519717,125.966006
0.108484477,0.30544528,0.748891353,132.0785912
0.122382581,0.93199867,0.739194139,133.9188478
0.107502922,0.85492414,0.73553719,132.7426191
0.096125498,0.5279461,0.69327467,144.7802087
0.074212879,0.3679161,0.769296741,131.8691451
,0.87446254,0.773611111,125.4426558
,0.963205,0.776850508,134.522689
0.092887521,0.80257845,0.784391534,147.3002897
0.074883141,0.84538347,0.782828283,147.9048926
0.115201034,0.6510856,0.700359017,141.8707506
0.213216156,0.3220286,0.748964803,80.31392873
0.145302117,-0.14618096,0.692093023,77.62038526
0.122170687,0.43448916,0.803215078,81.30700111
0.152355582,0.34473366,0.719907407,81.48613652
0.15125595,-0.0782612,0.734126984,85.95578636
0.133222982,0.8951772,0.799889135,89.58223796
0.127538532,0.8132575,0.778832463,80.68411375
0.127626583,0.85349965,0.80017301,82.74119142
0.119100407,0.8728204,0.597905282,80.33360289
0.101451993,0.8846928,0.719298246,105.6915936
0.123967849,0.91854936,0.733930285,105.4215991
0.096052788,0.86561006,0.740055504,107.080028
0.134697929,0.7335763,0.791954023,113.9019505
0.094980456,0.73732126,0.751179245,99.81020686
0.109403469,0.7697852,0.782082324,103.0380042
,0.9278126,0.817204301,109.197035
,0.9601725,0.765517241,107.8268253
0.10385067,0.7644083,0.769115442,115.4268681
0.094751693,0.692564,0.783558793,118.9697202
0.128938794,0.96752137,0.607615139,114.8135664
0.115594849,0.8036239,0.49124424,105.8788435
0.10657841,0.46259147,0.764705882,115.9026495
0.105363667,0.052654102,0.778074866,116.8283377
0.07471288,0.7024785,0.775,109.5926579
0.118784964,0.8761838,0.74375,123.3184639
0.095818937,0.87888205,0.747340426,111.7481841
0.117656343,0.5065305,0.760093897,116.7547809
,0.65805244,0.775089606,115.5332028
0.087691896,0.7692293,0.782926829,75.81765951
0.097424455,0.7774512,0.773255814,73.50078494
0.119843736,0.48800868,0.71859114,76.00679668
0.123027205,0.9700017,0.793162393,75.17075109
0.123716183,0.8998078,0.776353276,82.73099883
0.132837772,0.8788437,0.791495199,78.88549708
0.137619033,0.97294724,0.791744841,78.60650354
0.122355528,0.4177736,0.754084967,74.55267245
0.136189073,0.79633516,0.807397959,76.98686826
0.09411905,0.8338038,0.780241935,83.4197715
0.118469015,0.9552773,0.77016129,70.53436951
0.138694048,0.5559562,0.775132275,78.1089025
0.112344608,0.59500396,0.789321789,114.7088914
0.093204908,0.7271403,0.790948276,115.0220364
0.118537247,0.74255586,0.732789393,114.7008825
0.130200967,0.9242524,0.651875,119.6731499
0.111188762,0.91021776,0.817204301,120.7217088
0.111897856,0.68649924,0.825471698,114.3150928
0.12620908,0.7419069,0.76974416,107.3718301
0.106903754,0.5326092,0.793123543,120.7795396
0.16945073,0.91354895,0.744827586,115.6457274
0.103547655,0.58956844,0.790726817,120.9110539
,0.8953906,0.725806452,120.2108121
0.256177098,0.7632355,0.733506944,116.6272018
0.108327471,0.5625346,0.778642937,124.2805575
0.128877431,0.9007209,0.755102041,112.2428279
,0.95519876,0.738636364,96.03768601
,0.9481812,0.759211209,106.6170374
,0.94135475,0.787025704,104.8521321
,0.88493943,0.747464503,111.3932875
0.135651663,0.85310805,0.769172932,104.4189996
0.123727694,0.83488196,0.740121581,129.7232932
0.091279633,0.76732755,0.783969728,140.0004576
0.100031301,0.83113027,0.789473684,132.6956464
0.110965475,0.82411015,0.797090909,75.22205545
0.110852197,0.91680026,0.781994048,75.05392908
0.125388592,0.7234391,0.796439628,82.59239255
0.112835564,0.38859004,0.786858974,77.38025861
0.115949884,0.49315405,0.697976129,80.20604004
,0.925682,0.750771605,78.12597091
0.098579913,0.7942875,0.759358289,82.02735142
0.090968214,0.57988405,0.771802326,104.3843923
0.095952056,0.90850455,0.609756098,103.8998512
0.111587375,0.5878776,0.717105263,104.0044418
0.12702775,0.902775,0.796452703,103.3196537
0.113890044,0.93960476,0.748012719,102.2561928
0.144492641,0.83734477,0.767460317,97.85846144
0.078101993,0.8461203,0.688639551,103.3192414
0.084006973,0.952484,0.791563275,110.9041913
0.119353689,0.2887013,0.706896552,106.6779746
0.115663253,0.6746343,0.779090584,108.5969168
0.092426233,0.4831267,0.804945055,114.2172109
0.139785707,0.48951992,0.777777778,121.4127177
0.114644453,0.55679196,0.770440252,109.9468351
0.102657847,0.545369,0.780048077,114.6552373
0.08056245,0.45459524,0.791145833,114.1316495
0.138660356,0.6996594,0.720816327,135.5775276
,0.8274343,0.77195122,134.3202585
0.109137945,0.68111086,0.780701754,122.6468712
0.08269541,0.90965486,0.785714286,148.5606032
0.147152469,0.7789973,0.792792793,134.0093674
0.221443653,0.9149878,0.764081633,134.4860433
0.166416779,0.70436186,0.745426829,141.215555
,0.8709016,0.734478936,150.4618328
0.155250385,0.83400977,0.765306122,156.5556192
0.176267549,0.23485842,0.829903978,135.3500922
0.167537257,0.50296396,0.767137097,137.3970351
0.178229541,0.58159506,0.762755102,135.1631564
0.088269159,0.6860606,0.714646465,129.5019054
,0.8207811,0.819858156,125.5938666
,0.62135977,0.671511628,129.5191957
0.338494152,0.84728056,0.7374677,129.2152997
0.112669878,0.8600724,0.796875,131.7761347
0.112118572,0.925145,0.78902439,124.314775
0.107754774,0.5714195,0.692581301,127.0045415
0.094913788,0.85212314,0.76097973,130.6370043
0.185809255,0.88824904,0.757291667,86.0809996
0.180183992,0.9258925,0.742946708,87.8024283
0.082407765,0.386459,0.767241379,90.36261907
0.080619931,0.5210867,0.766098485,88.59583898
0.141740292,0.9068013,0.790948276,91.77061686
0.098563164,-0.11922081,0.773049645,87.25339324
