ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,P,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,T
3,A549,0,1,2,10,control,0.29015959,0.047521278,0.258724153,1.838925242,0.270227671,0.17307627,control,0.288216588,0,0,0.100701632,0.070384164,0.729772329,0.400078247
4,A549,0,1,2,10,control,0.226512689,-0.016125623,0.174039468,0.629508674,0.756323636,0.50167346,control,0.1718913,0,0,0,0.327150405,0.243676364,0.285413385
5,A549,0,1,2,10,control,0.212842148,-0.029796165,0.21027939,1.34685123,0.76911819,0.7419396,control,0.255354151,0,0,0,0,0.23088181,0.115440905
6,A549,0,1,2,10,control,0.550730553,0.308092241,0.218018502,2.005140781,0.904997826,0.7449694,control,0.296885442,0,0,0,0.129818454,0.095002174,0.112410314
1,A549,0,1,2,11,control,0.732519029,0.489880717,0.142116517,0.787652612,0.125547305,0.7730518,control,0.19604711,0,0,0.033651485,0.161536431,0.874452695,0.517994563
1,A549,0,1,2,12,control,0.196176807,-0.046461505,0.16310218,0.688658774,0.402176291,0.65504044,control,0.181455877,0,0,0,0.261574976,0.597823709,0.429699343
2,A549,0,1,2,12,control,0.109274269,-0.133364043,0.163287804,1.475201368,-0.096314803,0.26632324,control,0.265185409,0,0,0,0,0.903685197,0.451842598
3,A549,0,1,2,12,control,0.157215483,-0.085422829,0.137220979,0.748049319,0.656511843,0.85058326,control,0.190408094,0,0,0.056085231,0.200197933,0.343488157,0.271843045
1,A549,0,1,2,13,control,0.373465252,0.13082694,0.160388231,0.588000834,0.768817604,0.8616213,control,0.164754039,0,0,0,0.376083983,0.231182396,0.30363319
2,A549,0,1,2,13,control,0.146724036,-0.095914277,,0.345169783,0.163450629,0.74576277,,,,,,,0.836549371,
3,A549,0,1,2,13,control,0.206665493,-0.03597282,0.178184509,1.435324669,0.54503274,0.7296368,control,0.262241932,0,0,0,0,0.45496726,0.22748363
4,A549,0,1,2,13,control,0.163879847,-0.078758465,0.131636873,1.182267308,0.63820529,0.7237114,control,0.241055247,0,0,0.08167433,0,0.36179471,0.180897355
5,A549,0,1,2,13,control,0.230736869,-0.011901443,0.202852294,1.529178381,0.459477961,0.5091124,control,0.269021843,0,0,0,0,0.540522039,0.270261019
6,A549,0,1,2,13,control,0.321675681,0.079037369,0.244862959,2.320550442,0.042147025,0.47013453,control,0.310949445,0,0,0.037182873,0.226242272,0.957852975,0.592047623
1,A549,0,1,2,14,control,0.396929438,0.154291126,0.328428507,2.754689932,0.218467951,0.73696434,control,0.326443104,0,0,0.42012101,0.332467914,0.781532049,0.556999982
2,A549,0,1,2,14,control,0.185047828,-0.057590485,0.325273633,3.253026962,0.444947183,0.5130519,control,0.340328549,0,0,0.405663838,0.427667527,0.555052817,0.491360172
3,A549,0,1,2,14,control,0.132149669,-0.110488643,0.250698149,0.984962583,0.671754718,0.7981371,control,0.220788405,0,0,0.063922564,0,0.328245282,0.164122641
4,A549,0,1,2,14,control,0.129571668,-0.113066644,0.235330671,0.996665359,-0.030267656,0.73611635,control,0.222102238,0,0,0,0,0.969732344,0.484866172
5,A549,0,1,2,14,control,0.266936014,0.024297702,0.263522983,1.440794826,0.969931126,0.92767406,control,0.262651401,0,0,0.122692211,0,0.030068874,0.015034437
1,A549,0,1,2,15,control,0.123689774,-0.118948539,0.305578649,2.964068651,0.459168553,0.45583013,control,0.332702409,0,0,0.315411807,0.375382165,0.540831447,0.458106806
2,A549,0,1,2,15,control,0.221878619,-0.020759693,0.270118117,2.055928946,0.881358266,0.65240604,control,0.299346169,0,0,0.152914339,0.146689371,0.118641734,0.132665552
3,A549,0,1,2,15,control,0.090746614,-0.151891699,0.330167025,2.297549009,0.832479537,0.56464106,control,0.310014766,0,0,0.428087751,0.219834046,0.167520463,0.193677255
4,A549,0,1,2,15,control,0.222510904,-0.020127408,0.290556133,2.087046862,0.785797179,0.72893935,control,0.300813854,0,0,0.246571303,0.156751926,0.214202821,0.185477373
5,A549,0,1,2,15,control,0.146266977,-0.096371335,0.26756981,2.30132699,0.202333987,0.34296596,control,0.310169181,0,0,0.141236751,0.220892725,0.797666013,0.509279369
1,A549,0,1,2,16,control,0.330208336,0.087570024,0.35989216,2.262760401,0.947924554,0.8042549,control,0.308576069,0,0,0.564302828,0.209970233,0.052075446,0.131022839
2,A549,0,1,2,16,control,0.1185228,-0.124115512,0.254122198,3.075278282,0.73642236,0.58940357,control,0.33576545,0,0,0.079613225,0.396382595,0.26357764,0.329980118
1,A549,0,1,2,17,control,0.285227617,0.042589305,0.300676614,2.524610758,0.735215962,0.612996,control,0.318707381,0,0,0.292948289,0.279431238,0.264784038,0.272107638
2,A549,0,1,2,17,control,0.269302593,0.026664281,0.336233735,2.13867712,0.929016471,0.8806063,control,0.303184809,0,0,0.455888377,0.173007363,0.070983529,0.121995446
3,A549,0,1,2,17,control,0.769606284,0.526967972,0.164060399,0.940261483,0.662325621,0.7615596,control,0.21562407,0,0,0,0.027315382,0.337674379,0.182494881
4,A549,0,1,2,17,control,0.171597765,-0.071040547,0.231286332,1.280041218,0.596769452,0.80884504,control,0.249798664,0,0,0,0,0.403230548,0.201615274
1,A549,0,1,2,18,control,0.174841462,-0.06779685,0.245065495,2.596483707,0.313994765,0.72986954,control,0.321230194,0,0,0.038110994,0.296727826,0.686005235,0.49136653
1,A549,0,1,2,19,control,0.15660008,-0.086038232,0.300604165,1.977888942,0.232903436,0.80509484,control,0.295530467,0,0,0.29261629,0.120528646,0.767096564,0.443812605
2,A549,0,1,2,19,control,0.220452817,-0.022185495,0.329328209,1.813803077,0.41019991,0.8532136,control,0.286817264,0,0,0.424243886,0.060790298,0.58980009,0.325295194
3,A549,0,1,2,19,control,0.451385657,0.208747344,0.349718928,1.801854968,0.877907991,0.8671313,control,0.28614294,0,0,0.517684116,0.056167083,0.122092009,0.089129546
4,A549,0,1,2,19,control,0.508648748,0.266010436,0.330410659,3.119363308,0.696348429,0.8130206,control,0.336933907,0,0,0.429204201,0.404393618,0.303651571,0.354022595
1,A549,0,1,2,2,control,0.15786682,-0.084771493,0.163251787,1.084477663,0.454846203,0.7568145,control,0.231489992,0,0,0,0,0.545153797,0.272576898
2,A549,0,1,2,2,control,0.138856898,-0.103781414,0.193669021,1.140695214,0.785861373,0.55745876,control,0.237095677,0,0,0,0,0.214138627,0.107069314
3,A549,0,1,2,2,control,0.155663983,-0.086974329,0.29437834,3.284730911,0.041693743,0.41745046,control,0.341102655,0,0,0.264086524,0.432974855,0.958306257,0.695640556
4,A549,0,1,2,2,control,0.126856758,-0.115781554,0.148320958,0.99914211,0.389670014,0.5019791,control,0.222378323,0,0,0.005219707,0,0.610329986,0.305164993
5,A549,0,1,2,2,control,0.245291087,0.002652775,0.142236248,0.741701305,0.567315221,0.7458737,control,0.189480369,0,0,0.03310282,0.206558484,0.432684779,0.319621632
1,A549,0,1,2,3,control,0.209299083,-0.033339229,0.235168546,1.613407373,0.225092351,0.64945716,control,0.274691854,0,0,0,0,0.774907649,0.387453824
2,A549,0,1,2,3,control,0.272903157,0.030264845,0.159216881,1.039319038,-0.523311853,0.5248821,control,0.226763193,0,0,0,0,0.476688147,0.238344073
3,A549,0,1,2,3,control,0.236165581,-0.006472731,0.210220084,1.18930614,0.792563438,0.54604167,control,0.241710781,0,0,0,0,0.207436562,0.103718281
4,A549,0,1,2,3,control,0.347610685,0.104972373,0.110670812,1.019802451,-0.096504778,0.4321016,control,0.22465496,0,0,0.177751055,0,0.903495222,0.451747611
1,A549,0,1,2,4,control,0.127587698,-0.115050614,,,,0.7204737,,,,,,,,
2,A549,0,1,2,4,control,0.315620879,0.072982567,0.157197818,1.135322213,0.553328633,0.78216845,control,0.23657267,0,0,0,0,0.446671367,0.223335683
3,A549,0,1,2,4,control,0.158284898,-0.084353414,0.116053082,1.568577528,0.789586425,0.6724275,control,0.27172035,0,0,0.153086868,0,0.210413575,0.105206788
1,A549,0,1,2,5,control,0.357320498,0.114682186,0.265915304,2.130713224,0.762787938,0.7104648,control,0.302824193,0,0,0.133654998,0.170534957,0.237212062,0.203873509
2,A549,0,1,2,5,control,0.395236222,0.152597909,0.1201602,0.633544385,0.789401829,0.78082925,control,0.172565893,0,0,0.134266049,0.322525352,0.210598171,0.266561761
1,A549,0,1,2,6,control,0.051385611,-0.191252701,0.242041945,1.312226534,0.860188365,0.8516705,control,0.252515063,0,0,0.024255612,0,0.139811635,0.069905818
1,A549,0,1,2,7,control,0.213193522,-0.02944479,0.224172994,1.289494395,0.514017105,0.4949449,control,0.250604422,0,0,0,0,0.485982895,0.242991447
2,A549,0,1,2,7,control,0.194682384,-0.047955928,0.329883844,5.587678432,0.770274997,0.52810115,control,0.37740519,0,0,0.426790074,0.681867655,0.229725003,0.455796329
1,A549,0,1,2,8,control,0.147686932,-0.09495138,0.293681204,2.328379393,0.48445487,0.5019916,control,0.311264633,0,0,0.260891907,0.228403223,0.51554513,0.371974176
2,A549,0,1,2,8,control,0.27782013,0.035181818,0.164281741,2.816530943,0.652306378,0.57499206,control,0.328363287,0,0,0,0.345632826,0.347693622,0.346663224
1,A549,0,1,2,9,control,0.237943973,-0.004694339,0.216360375,0.813449979,0.328104019,0.68843365,control,0.199587862,0,0,0,0.137260778,0.671895981,0.40457838
2,A549,0,1,2,9,control,0.047955074,-0.194683239,0.104278035,0.529081941,0.657940567,0.6202967,control,0.153957565,0,0,0.20704588,0.450105389,0.342059433,0.396082411
3,A549,0,1,2,9,control,0.120388171,-0.122250141,0.198870152,0.890813351,0.745276511,0.8646194,control,0.209626852,0,0,0,0.068432741,0.254723489,0.161578115
1,A549,0,3,2,0,control,0.267535017,0.024896705,0.105456464,0.912730098,0.815163255,0.6386143,control,0.212323241,0,0,0.201645745,0.049946101,0.184836745,0.117391423
1,A549,0,3,2,1,control,0.113323353,-0.129314959,0.138423488,0.771969855,0.923040509,0.6676809,control,0.193844225,0,0,0.050574748,0.176639569,0.076959491,0.12679953
2,A549,0,3,2,1,control,0.166508823,-0.076129489,0.129385307,0.898276925,0.343995392,0.5285855,control,0.210552077,0,0,0.091992102,0.06208933,0.656004608,0.359046969
3,A549,0,3,2,1,control,0.271944507,0.029306195,0.078287996,0.606109798,0.473747373,0.34006023,control,0.167913235,0,0,0.326144927,0.35442431,0.526252627,0.440338469
4,A549,0,3,2,1,control,0.137628635,-0.105009677,0.048120856,0.846985221,-0.009928292,0.22683406,control,0.204042796,0,0,0.46438549,0.106717427,0.990071708,0.548394568
5,A549,0,3,2,1,control,0.207979723,-0.034658589,0.070384949,1.540499806,0.328882456,0.24271902,control,0.269805834,0,0,0.362360546,0,0.671117544,0.335558772
6,A549,0,3,2,1,control,0.130519897,-0.112118416,0.107663408,2.009207249,0.091443598,0.13408127,control,0.297085525,0,0,0.19153245,0.131190234,0.908556402,0.519873318
1,A549,0,3,2,10,control,0.265805106,0.023166793,0.098955117,0.672124684,0.345359534,0.8482975,control,0.178850452,0,0,0.23143809,0.279437959,0.654640466,0.467039212
2,A549,0,3,2,10,control,0.211644723,-0.030993589,0.054649871,0.311937273,0.883429646,0.7244286,control,0.105794491,0,0,0.434466358,0.780314898,0.116570354,0.448442626
3,A549,0,3,2,10,control,0.220956094,-0.021682218,0.085999109,0.618593872,0.596622765,0.39274496,control,0.170049977,0,0,0.290808845,0.339774654,0.403377235,0.371575944
4,A549,0,3,2,10,control,0.18323952,-0.059398792,0.165198177,1.177008629,0.840688825,0.64941597,control,0.240562734,0,0,0,0,0.159311175,0.079655588
1,A549,0,3,2,11,control,0.425317599,0.182679287,0.12812078,1.239520073,-0.165769368,0.16720635,control,0.246267703,0,0,0.097786784,0,0.834230632,0.417115316
2,A549,0,3,2,11,control,0.428555132,0.18591682,,,,0.6612907,,,,,,,,
1,A549,0,3,2,12,control,0.181783281,-0.060855031,0.391364366,2.319922447,0.98176074,0.84764755,control,0.310924098,0,0,0.708523841,0.226068491,0.01823926,0.122153875
2,A549,0,3,2,12,control,0.19975906,-0.042879252,0.308583468,1.062981129,0.958055019,0.96491367,control,0.229265736,0,0,0.329181355,0,0.041944981,0.02097249
3,A549,0,3,2,12,control,0.210202131,-0.032436181,0.290796161,2.137430429,0.940999627,0.4184825,control,0.303128478,0,0,0.247671228,0.172621155,0.059000373,0.115810764
1,A549,0,3,2,13,control,0.196489079,-0.046149233,0.274021983,1.526478648,0.936837912,0.7039938,control,0.268833853,0,0,0.170803758,0,0.063162088,0.031581044
2,A549,0,3,2,13,control,0.275875159,0.033236847,0.297145098,2.336232185,0.415013254,0.66524094,control,0.311579295,0,0,0.276765161,0.230560566,0.584986746,0.407773656
3,A549,0,3,2,13,control,0.165802333,-0.076835979,0.190717101,0.974055886,0.32284379,0.4827412,control,0.219549922,0,0,0,0.000399457,0.67715621,0.338777834
1,A549,0,3,2,14,control,0.208505112,-0.0341332,0.196193352,0.86416626,0.925259471,0.6721257,control,0.206263089,0,0,0,0.091494941,0.074740529,0.083117735
2,A549,0,3,2,14,control,0.167028736,-0.075609576,0.113691919,0.537611842,0.717479944,0.6881977,control,0.155571832,0,0,0.163906871,0.439037857,0.282520056,0.360778956
1,A549,0,3,2,2,control,0.194424815,-0.048213497,0.047278825,0.54465729,0.310612738,0.1135152,control,0.156891725,0,0,0.468244088,0.429988578,0.689387262,0.55968792
2,A549,0,3,2,2,control,0.169874794,-0.072763518,0.09781123,1.002506495,0.137008399,0.36687303,control,0.222752259,0,0,0.236679941,0,0.862991601,0.431495801
3,A549,0,3,2,2,control,0.319475725,0.076837413,0.152879313,0.902945936,0.712615967,0.4798159,control,0.211127183,0,0,0,0.058146363,0.287384033,0.172765198
1,A549,0,3,2,4,control,0.204520682,-0.03811763,0.211683556,1.475296736,0.884830117,0.7893973,control,0.265192335,0,0,0,0,0.115169883,0.057584941
2,A549,0,3,2,4,control,0.329010607,0.086372295,0.076793484,0.524198532,0.479312152,0.17877433,control,0.153025257,0,0,0.332993511,0.456497363,0.520687848,0.488592606
3,A549,0,3,2,4,control,0.134594538,-0.108043774,0.111287482,2.135160208,-0.000520374,0.6005184,control,0.303025784,0,0,0.174925173,0.17191708,0.999479626,0.585698353
