FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity,A_Eccentricity similarity
0.1121009886264801,0.90402365,0.7282688093498905,123.2641869,0.5979658407482753
0.11982260644435883,0.70409894,0.8280780780780781,123.9469795,0.34619745430073434
0.16453297436237335,0.37562957,0.8076923076923077,115.2837214,0.4014829542343734
0.1387874037027359,0.8714043,0.758873929008568,112.4709255,0.4546238970776749
0.1375221163034439,0.75092614,0.7927927927927928,114.5485814,0.43878014342275234
0.16456270217895508,0.40325102,0.8167388167388168,110.5772931,0.7587154375238692
0.13861258327960968,0.937744,0.7608024691358025,117.364043,0.3272246591632273
0.15662848949432373,0.9445763,0.7916666666666666,118.9962505,0.42121592603960467
0.13520433008670807,0.7517053,0.7389006342494715,110.1957207,0.5569975525610984
0.10775665938854218,0.353275,0.7037037037037037,112.3644128,0.5166014922247405
0.09898707270622253,0.8753058,0.7585565476190477,97.38658281,0.5150215788070476
,0.75966483,0.6878048780487804,99.58672317,0.7479107025701159
,0.7719995,0.7528344671201814,104.9748912,0.5641914669585584
,0.89377856,0.7815217391304348,102.2107336,0.4755537574453496
0.156071737408638,0.5319934,0.7936507936507936,95.58825402,0.30289453320880333
0.1672932356595993,0.7905115,0.8010204081632653,96.70324374,0.594303805437671
0.14872419834136963,0.8387884,0.5519900497512438,112.5667024,0.7680729712306194
0.16127073764801025,0.87370425,0.7842881944444444,95.81732779,0.4746696849281937
0.13860361278057098,0.8161861,0.724290780141844,101.9794756,0.7737041114766577
0.12536291778087616,0.8121782,0.7601168126825198,94.69077173,0.5251752430977711
,0.8333273,0.7862644415917843,132.1807497,0.32877444946780005
0.06935330480337143,0.30010328,0.7888157894736842,131.7806033,0.299655868768583
0.191679447889328,0.90268135,0.7171590194846009,129.9173744,0.5050993991618201
0.08561183512210846,0.4790433,0.7736111111111111,141.7723934,0.5964312520732377
0.06100849062204361,0.74324316,0.7910714285714285,130.7616609,0.34211238300059355
0.049459487199783325,0.74882454,0.6893617021276596,127.4262517,0.5047150588819814
0.05472037196159363,0.7119289,0.7792874396135265,144.2860183,0.7505304212722413
0.07715053111314774,0.9000143,0.7491830065359477,132.2347157,0.42767053506460334
