Distance_(pixels),Gray_Value,,,,,,,
35,718.605,1106.263,563.5,987.158,624,1995.947,0.366108984,0.351517223
36,698.526,1195.263,563.5,987.158,624,1995.947,0.318714624,0.416388534
37,762.842,1037.974,563.5,987.158,624,1995.947,0.470525754,0.301741977
38,754,1164,563.5,987.158,624,1995.947,0.449655146,0.393601211
39,707.684,1156.368,563.5,987.158,624,1995.947,0.340331116,0.388038313
40,795.737,1313.158,563.5,987.158,624,1995.947,0.54817093,0.502321154
41,731.658,1254.158,563.5,987.158,624,1995.947,0.396919213,0.459316577
42,761.316,1274.737,563.5,987.158,624,1995.947,0.466923792,0.474316428
43,820.763,1314.447,563.5,987.158,624,1995.947,0.607242162,0.503260694
44,790.579,1351.421,563.5,987.158,624,1995.947,0.535996016,0.530210715
45,804,1376.974,563.5,987.158,624,1995.947,0.56767487,0.54883607
46,782.053,1338.789,563.5,987.158,624,1995.947,0.515871292,0.521003362
47,780.711,1507.474,563.5,987.158,624,1995.947,0.512703643,0.643956363
48,832.684,1523.579,563.5,987.158,624,1995.947,0.635380425,0.655695154
49,800.211,1587.684,563.5,987.158,624,1995.947,0.558731335,0.70242072
50,878.368,1767.737,563.5,987.158,624,1995.947,0.743212686,0.833659755
51,837.263,1808.816,563.5,987.158,624,1995.947,0.646188671,0.863601874
52,902.105,1825.211,563.5,987.158,624,1995.947,0.799241369,0.875552044
53,909.763,1825.974,563.5,987.158,624,1995.947,0.81731727,0.876108188
54,899.105,1806.263,563.5,987.158,624,1995.947,0.792160186,0.861741015
55,893.632,1784.711,563.5,987.158,624,1995.947,0.779241747,0.846031953
56,877.632,1800.368,563.5,987.158,624,1995.947,0.741475435,0.857444202
57,874.5,1719.5,563.5,987.158,624,1995.947,0.73408268,0.798500234
58,881.632,1760.474,563.5,987.158,624,1995.947,0.750917013,0.828365819
59,893.237,1727.053,563.5,987.158,624,1995.947,0.778309391,0.804005548
60,987.158,1769.105,563.5,987.158,624,1995.947,1,0.834656878
61,792.026,1681.079,563.5,987.158,624,1995.947,0.539411506,0.770495507
62,881.368,1608.579,563.5,987.158,624,1995.947,0.750293869,0.717650901
63,910.658,1693.421,563.5,987.158,624,1995.947,0.819429823,0.779491482
64,872.316,1586.842,563.5,987.158,624,1995.947,0.728927578,0.701806994
65,910.184,1452,563.5,987.158,624,1995.947,0.818310996,0.603521856
66,840.526,1492.211,563.5,987.158,624,1995.947,0.653890638,0.632831297
67,825.868,1504.921,563.5,987.158,624,1995.947,0.619291976,0.642095504
68,820.474,1459.947,563.5,987.158,624,1995.947,0.606560008,0.609314354
69,848.974,1252.316,563.5,987.158,624,1995.947,0.673831251,0.45797396
70,775.421,1202.789,563.5,987.158,624,1995.947,0.500217156,0.421874169
71,756.816,1115.263,563.5,987.158,624,1995.947,0.456302017,0.358077244
72,729,1016.579,563.5,987.158,624,1995.947,0.390645285,0.286147351
73,662.316,962.816,563.5,987.158,624,1995.947,0.23324474,0.246959977
74,643.632,799.895,563.5,987.158,624,1995.947,0.18914313,0.128208305
